Journal Acronym,Alt Acronym 1,Alt Acronym 2,Journal Acronym2
ABAC,ABAC,ABAC,ABAC
FSH,FSH,FSH,FSH
ACEM,ACEM,ACEM,ACEM
ACFI,ACFI,ACFI,ACFI
APR,APR,APR,APR
ACEN,ACEP,ACE6,ACEN
AAS,AAS,AAS,AAS
AAR,AAR,AAR,AAR
AYC,AYC,AYC,AYC
AYA,AYA,AYA,AYA
AYB,AYB,AYB,AYB
AYD,AYD,AYD,AYD
AYF,AYF2,AYF2,AYF
ACGS,ACGS,ACGS,ACGS
ANE,ANE,ANE,ANE
AOGS,AOGS,AOGS,AOGS
AOS,AOS,AOS,AOS
APA,APA,APA,APA
APHA,APHA,APHA,APHA
ACPS,ACP,ACP,ACPS
AZO,AZO,AZO,AZO
AMS2,AMS2,AMS2,AMS2
ADD,ADD,ADD,ADD
ADB,ADB,ADB,ADB
ADSP,ADSP,ADSP,ADSP
AELM,2707,E707,AELM
AENM,2528,2528,AENM
ADEM,2266,2266,ADEM
ADFM,2126,2126,ADFM
AHM,2087,E087,AHM
ADMA,2089,2089,ADMA
ADMI,2706,E706,ADMI
ADMT,2767,E767,ADMT
ADOM,2298,E298,ADOM
ADVS,2749,E749,ADVS
ADSC,2258,2258,ADSC
ADV,ADV,ADV,ADV
ARBE,ARBE,ARBE,ARBE
ARBP,ARBP,ARBP,ARBP
AFDR,AFDR,AFDR,AFDR
AJE,AJE,AJE,AJE
AJB2,AJB2,AJB2,AJB2
AB,AB,AB,AB
ACEL,ACEL,ACEL,ACEL
AGR,AGR,AGR,AGR
AFE,AFE,AFE,AFE
AGEC,AGEC,AGEC,AGEC
AIC,AIC,AIC,AIC
ADAW,ADAW,ADAW,ADAW
ACER,ACER,ACER,ACER
APT,APT,APT,APT
ALL,ALL,ALL,ALL
ALT,ALT,ALT,ALT
AMAN,AMAN,AMAN,AMAN
ABLJ,ABLJ,ABLJ,ABLJ
AMET,AMET,AMET,AMET
AJCP,AJCP,AJCP,AJCP
AJH,AJH,AJH,AJH
AJHB,AJHB,AJHB,AJHB
AJIM,AJIM,AJIM,AJIM
AJMG.A,AJMG,AJMG,AJMG.A
AJMG.B,AJMG.B,AJMG.B,AJMG.B
AJMG.C,AJMG.C,AJMG.C,AJMG.C
AJPA,AJPA,AJPA,AJPA
AJPS,AJPS,AJPS,AJPS
AJP,AJP,AJP,AJP
AJI,AJI,AJI,AJI
AJT,AJT,AJT,AJT
ANAE,ANAE,ANAE,ANAE
ASAP,ASAP,ASAP,ASAP
PHIB,PHIB,PHIB,PHIB
AHE,AHE,AHE,AHE
ASE,ASE,ASE,ASE
AND,AND,AND,AND
ANDR,ANDR,ANDR,ANDR
ANGE,2001,2001,ANGE
ANIE,2002,2002,ANIE
ACV,ACV,ACV,ACV
AGE,AGE,AGE,AGE
ASJ,ASJ,ASJ,ASJ
ANDP,2257,2257,ANDP
NAPA,AAP,AAP,NAPA
AAB,AAB,AAB,AAB
ACN3,ACTN,ACTN,ACN3
AHG,AHG,AHG,AHG
ANA,ANA,ANA,ANA
ANEC,ANEC,ANEC,ANEC
APCE,APCE,APCE,APCE
NYAS,NYAS,NYAS,NYAS
AEQ,AEQ,AEQ,AEQ
ANHU,ANHU,ANHU,ANHU
ANNE,ANNE,ANNE,ANNE
ANOC,ANOC,ANOC,ANOC
AWR,AWR,AWR,AWR
ANTH,ANTH,ANTH,ANTH
ANTI,ANTI,ANTI,ANTI
ANS,ANS,ANS,ANS
APM,APM,APM,APM
ACP,ACP,ACP,ACP
AOC,AOC,AOC,AOC
APPS,APPS,APPS,APPS
APHW,APHW,APHW,APHW
ASMB,ASMB,ASMB,ASMB
AVSC,AVSC,AVSC,AVSC
ANU,ANU,ANU,ANU
ARE,ARE,ARE,ARE
AQC,AQC,AQC,AQC
AAE,AAE,AAE,AAE
ARP,ARP,ARP,ARP
ARCO,ARCO,ARCO,ARCO
ARCM,ARCM,ARCM,ARCM
APAA,APAA,APAA,APAA
AD,AD,AD,AD
ARDP,2019,2019,ARDP
ARCH,ARCH,ARCH,ARCH
AREA,AREA,AREA,AREA
CCH3,CCH3,CCH3,CCH3
AHIS,AHIS,AHIS,AHIS
ART,ART,ART,ART
ACR,ACR,ACR,ACR
AOR,AOR,AOR,AOR
AEHE,AEHE,AEHE,AEHE
APP5,APP5,APP5,APP5
APHR,APHR,APHR,APHR
APV,APV,APV,APV
ASEJ,ASEJ,ASEJ,ASEJ
AEPR,AEPR,AEPR,AEPR
ASJC,ASJC,ASJC,ASJC
ASES,ASES,ASES,ASES
AJOC,2157,2157,AJOC
AJSP,AJSP,AJSP,AJSP
ASPP,ASPP,ASPP,ASPP
ASWP,ASWP,ASWP,ASWP
APEL,APEL,APEL,APEL
APJ,APJ,APJ,APJ
AJCO,AJCO,AJCO,AJCO
AJFS,AJFS,AJFS,AJFS
APPY,APPY,APPY,APPY
AU,AU,AU,AU
ASNA,2228,2228,ASNA
ASL,ASL2,ASL2,ASL
AEC,AEC,AEC,AEC
AEN,AEN,AEN,AEN
AJD,AJD,AJD,AJD
AJUM,AJU2,AJU2,AJUM
AJAG,AJA,AJA,AJAG
ANZS,ANZS,ANZS,ANZS
AUAR,AUAR,AUAR,AUAR
ANZF,ANZF,ANZF,ANZF
AZPH,AZPH,AZPH,AZPH
ADJ,ADJ,ADJ,ADJ
AEHR,AEHR,AEHR,AEHR
AEPA,AEPA,AEPA,AEPA
AEJ,AEJ,AEJ,AEJ
AJGW,AJGW,AJGW,AJGW
AJPH,AJPH,AJPH,AJPH
AJPY,AJPY,AJPY,AJPY
AUPA,AUPA,AUPA,AUPA
AJR,AJR,AJR,AJR
AOT,AOT,AOT,AOT
AP,AP,AP,AP
AVJ,AVJ,AVJ,AVJ
AUR,AUR,AUR,AUR
AAP,AAP,AAP,AAP
AOCS,AOCS,AOCS,AOCS
BCPT,BCPT,BCPT,BCPT
BRE,BRE,BRE,BRE
BAPI,2094,2094,BAPI
BATE,2091,2091,BATE
BIN,BIN,BIN,BIN
BSL,BSL,BSL,BSL
BEWI,BEWI,BEWI,BEWI
BEST,2093,2093,BEST
BMB,BMB,BMB,BMB
BEM,BEM,BEM,BEM
BTM2,BTM2,BTM2,BTM2
BIES,2487,2487,BIES
BIOE,BIOE,BIOE,BIOE
BIOF,BIOF,BIOF,BIOF
BBB,BBB,BBB,BBB
ETR2,ETR2,ETR2,ETR2
BRV,BRV,BRV,BRV
BIUZ,2008,2008,BIUZ
BOC,BOC,BOC,BOC
BMC,BMC,BMC,BMC
BIMJ,2221,2221,BIMJ
BIOM,BIOM,BIOM,BIOM
BDD,BDD,BDD,BDD
BIP,BIP,BIP,BIP
BIP.P,PEP,PEP,BIP.P
BAB,BAB,BAB,BAB
BIT,BIT,BIT,BIT
BIOT,2446,2446,BIOT
BTPR,BTPR,BTPR,BTPR
BTP,BTP,BTP,BTP
BDI,BDI,BDI,BDI
BIRT,BIRT,BIRT,BIRT
BDRA,BDR,BDR,BDRA
BDRB,BDRB,BDRB,BDRB
BDRC,BDRC,BDRC,BDRC
BJO,BJO,BJO,BJO
BJU,BJU,BJU,BJU
YBW2,YBW2,YBW2,YBW2
BAN,BAN,BAN,BAN
BL,BL,BL,BL
BOR,BOR,BOR,BOR
AAH,AAH,AAH,AAH
BRB3,BRB3,BRB3,BRB3
BPA,BPA,BPA,BPA
DIS,DIS,DIS,DIS
BERJ,BERJ,BERJ,BERJ
BCP,BCP,BCP,BCP
BJC,BJC,BJC,BJC
BJD,BJD,BJD,BJD
BJDP,BJDP,BJDP,BJDP
BJEP,BJEP,BJEP,BJEP
BJET,BJET,BJET,BJET
BJH,BJH,BJH,BJH
BJHP,BJHP,BJHP,BJHP
BJIR,BJIR,BJIR,BJIR
BLD,BLD,BLD,BLD
BJOM,BJOM,BJOM,BJOM
BMSP,BMSP,BMSP,BMSP
BPH,BPH,BPH,BPH
NAAQ,NAAQ,NAAQ,NAAQ
BJOP,BJOP,BJOP,BJOP
BJP,BJP,BJP,BJP
BJSO,BJSO,BJSO,BJSO
BJOS,BJOS,BJOS,BJOS
BJSP,BJSP,BJSP,BJSP
BJS,BJS,BJS,BJS
NPC,NPC,NPC,NPC
BOER,BOER,BOER,BOER
BLAR,BLAR,BLAR,BLAR
BUL2,BUL2,BUL2,BUL2
BICS,BICS,BICS,BICS
BKCS,E762,2762,BKCS
BASR,BASR,BASR,BASR
BEER,BEER,BEER,BEER
BSE,BSE,BSE,BSE
CAAC,CAAC,CAAC,CAAC
CALA,CALA,CALA,CALA
CASR,CASR,CASR,CASR
CJAS,CJAS,CJAS,CJAS
CJAG,CJAG,CJAG,CJAG
CAJE,CAJE,CAJE,CAJE
CAPA,CAPA,CAPA,CAPA
CARS,CARS,CARS,CARS
CNCR,CNCR,CNCR,CNCR
CNCY,CNCY,CNCY,CNCY
CAM4,CAM4,CAM4,CAM4
CAS,CAS,CAS,CAS
CDR,CDR,CDR,CDR
CCD,CCD,CCD,CCD
CBF,CBF,CBF,CBF
CBIN,CBIN,CBIN,CBIN
CPR,CPR,CPR,CPR
CMI,CMI,CMI,CMI
CNT,CNT,CNT,CNT
CMS3,CMS3,CMS3,CMS3
CESP,CESP,CESP,CESP
CBIC,2268,2268,CBIC
CBEN,E326,E326,CBEN
CCTC,2491,2491,CCTC
CELC,E701,E701,CELC
CBDD,CBDD,CBDD,CBDD
CEAT,2044,2044,CEAT
CVDE,2112,2112,CVDE
CIUZ,2006,2006,CIUZ
CITE,2004,2004,CITE
CHIN,CHIN,CHIN,CHIN
CHEM,2111,E111,CHEM
ASIA,2451,2451,ASIA
CBDV,2136,2136,CBDV
CIND,CIND,CIND,CIND
2011,CHE3,OPEN,2011
E766,E766,E766,E766
CKON,2106,2106,CKON
CMDC,2452,2452,CMDC
CNMA,E761,E761,CNMA
CPHC,2267,2267,CPHC
CPLU,E688,E688,CPLU
CSSC,2476,2476,CSSC
CFS,CFS,CFS,CFS
CAR,CAR,CAR,CAR
CAMH,CAMH,CAMH,CAMH
CDEV,CDEV,CDEV,CDEV
CDEP,CDEP,CDEP,CDEP
CCH,CCH,CCH,CCH
CHSO,CHSO,CHSO,CHSO
CWE,CWE,CWE,CWE
CJOC,2434,2434,CJOC
CJG2,CJG2,CJG2,CJG2
CHIR,CHIR,CHIR,CHIR
2404,2404,2404,2404
CICO,CICO,CICO,CICO
CISO,CISO,CISO,CISO
CLA,CLA,CLA,CLA
CLEN,2047,2047,CLEN
CEA,CEA,CEA,CEA
CEI,CEI,CEI,CEI
CEO,CEO,CEO,CEO
CA,CA,CA,CA
CRE2,CRE2,CRE2,CRE2
CED,CED,CED,CED
CEN3,CEN3,CEN3,CEN3
CXO,CXO,CXO,CXO
CEP,CEP,CEP,CEP
CTS,CTS,CTS,CTS
CLC,CLC,CLC,CLC
CCR3,CCR3,CCR3,CCR3
CEN,CEN,CEN,CEN
CGE,CGE,CGE,CGE
CID,CID,CID,CID
CLD,CLD,CLD,CLD
COB,COB,COB,COB
CLR,CLR,CLR,CLR
COA,COA,COA,COA
CPT,CPT,CPT,CPT
CPDD,CPD3,CPD3,CPDD
CPF,CPF,CPF,CPF
CP,CP,CP,CP
CPP,CPP,CPP,CPP
CPSP,CPSP,CPSP,CPSP
CTR,CTR,CTR,CTR
CNS,CNS,CNS,CNS
COGS,COGS,COGS,COGS
CATL,CATL,CATL,CATL
COL,COL,COL,COL
COTE,COTE,COTE,COTE
CODI,CODI,CODI,CODI
JSDE,JSDE,JSDE,JSDE
ACM2,ACM2,ACM2,ACM2
CPA,CPA,CPA,CPA
CDOE,CDOE,CDOE,CDOE
CPLX,CPLX,CPLX,CPLX
CRF3,CRF3,CRF3,CRF3
COIN,COIN,COIN,COIN
CAV,CAV2,CAV2,CAV
CAE,CAE,CAE,CAE
CGF,CGF2,CGF2,CGF
MICE,MICE,MICE,MICE
CMR.A,CMR,CMR,CMR.A
CMR.B,CMRB,CMRB,CMR.B
CPE,CPE,CPE,CPE
CRQ,CRQ,CRQ,CRQ
CGA,CGA,CGA,CGA
CHD,CHD,CHD,CHD
CBP,CBP,CBP,CBP
COBI,COBI,COBI,COBI
CON4,CON4,CON4,CON4
CONS,CONS,CONS,CONS
COD,COD,COD,COD
CARE,CARE,CARE,CARE
COEP,COEP,COEP,COEP
CCE2,CCE2,CCE2,CCE2
CMMI,CMMI,CMMI,CMMI
CTPP,2222,2222,CTPP
COR2,COR2,COR2,COR2
CRST,CRST,CRST,CRST
CORG,CORG,CORG,CORG
CPRT,CPRT,CPRT,CPRT
CSR,CSR,CSR,CSR
CVJ,CVJ,CVJ,CVJ
COTO,COTO,COTO,COTO
CAPR,CAP5,CAP5,CAPR
CEAS,CEAS,CEAS,CEAS
PSP4,PSP4,PSP4,PSP4
CAIM,CAIM,CAIM,CAIM
CBM,CBM,CBM,CBM
CRIM,CRIM,CRIM,CRIM
CAPP,CAPP,CAPP,CAPP
CRIQ,CRIQ,CRIQ,CRIQ
CROS,CROS,CROS,CROS
CRAT,2223,2223,CRAT
CUAG,CUAG,CUAG,CUAG
CURA,CURA,CURA,CURA
CURT,CURT,CURT,CURT
CYTO.A,CYTO,CYTOA,CYTO.A
CYTO.B,CYTOB,CYTOB,CYTO.B
CYT,CYT,CYT,CYT
CM,CM,CM,CM
DAP,DAP,DAP,DAP
DECI,DECI,DECI,DECI
DSJI,DSJI,DSJI,DSJI
EDT,EDT,EDT,EDT
DA,DA,DA,DA
DTH,DTH,DTH,DTH
DMJ,DMJ,DMJ,DMJ
DREV,DREV,DREV,DREV
DEWB,DEWB,DEWB,DEWB
DECH,DECH,DECH,DECH
DPR,DPR,DPR,DPR
DGD,DGD,DGD,DGD
DVDY,DVDY,DVDY,DVDY
DMCN,DMCN,DMCN,DMCN
DNEU,NEU,NEU,DNEU
DEV,DEV,DEV,DEV
DESC,DES3,DES3,DESC
DOM,DOM,DOM,DOM
DMRR,DMRR,DMRR,DMRR
DME,DME,DME,DME
DC,DC,DC,DC
DLTC,DLTC,DLTC,DLTC
DIAL,DIAL,DIAL,DIAL
TGER,TGER,TGER,TGER
DOME,DOME,DOME,DOME
DEN,DEN,DEN,DEN
DHE,DHE,DHE,DHE
DISA,DISA,DISA,DISA
AORN,AORN,AORN,AORN
DDI,DDI,DDI,DDI
DAR,DAR,DAR,DAR
DDR,DDR,DDR,DDR
DTA,DTA,DTA,DTA
DYS,DYS,DYS,DYS
EIP,EIP,EIP,EIP
EMED,EMED,EMED,EMED
ESS2,ESS2,ESS2,ESS2
ESP,ESP,ESP,ESP
EQE,EQE,EQE,EQE
EFT2,EFT2,EFT2,EFT2
ECHO,ECHO,ECHO,ECHO
ECOG,ECOG,ECOG,ECOG
ECO,ECO,ECO,ECO
EAP,EAP,EAP,EAP
EEN,EEN,EEN,EEN
EMR,EMR,EMR,EMR
ECM,ECM,ECM,ECM
ECY,ECY,ECY,ECY
ECE3,ECE3,ECE3,ECE3
ELE,ELE,ELE,ELE
EFF,EFF,EFF,EFF
ECTA,ECTA,ECTA,ECTA
ECAF,ECAF,ECAF,ECAF
SEA2,SEA2,SEA2,SEA2
MCF2,MCF2,MCF2,MCF2
ECIN,ECIN,ECIN,ECIN
ECNO,ECNO,ECNO,ECNO
ECOL,ECOL,ECOL,ECOL
ECPA,ECPA,ECPA,ECPA
ECOR,ECOR,ECOR,ECOR
ECCA,ECCA,ECCA,ECCA
ECPO,ECPO,ECPO,ECPO
ECOT,ECOT,ECOT,ECOT
ECS2,ECS2,ECS2,ECS2
JIA2,JIA2,JIA2,JIA2
EMIP,EMIP,EMIP,EMIP
EDTH,EDTH,EDTH,EDTH
EEJ,EEJ,EEJ,EEJ
ELAN,2049,2049,ELAN
ECJ,ECJX,ECJX,ECJ
ELPS,2027,2027,ELPS
EMMM,2484,2484,EMMM
EMBR,2327,2327,EMBR
EMM,EMM,EMM,EMM
ERT,ERT,ERT,ERT
ETP,ETP,ETP,ETP
ESE3,ESE3,ESE3,ESE3
ENTE,2198,2198,ENTE
ELSC,2129,E129,ELSC
CPH4,CPH4,CPH4,CPH4
SCT3,SCT3,SCT3,SCT3
EMT,EMT,EMT,EMT
ENTT,ENTT,ENTT,ENTT
EEA,EEA,EEA,EEA
ENR,ENR,ENR,ENR
ENS,ENS,ENS,ENS
APS3,APS3,APS3,APS3
EM,EM,EM,EM
EMI,EMI,EMI,EMI
EMI4,EMI4,EMI4,EMI4
EET,EET,EET,EET
EP,EP,EP,EP
TQEM,TQEM,TQEM,TQEM
TOX,TOX,TOX,TOX
ETC,ETC,ETC,ETC
ENV,ENV,ENV,ENV
EOST,EOST,EOST,EOST
EPI,EPI,EPI,EPI
EPD2,EPD2,EPD2,EPD2
EPP,EPP,EPP,EPP
EVE,EVE,EVE,EVE
EVJ,EVJ,EVJ,EVJ
EHF2,EHF2,EHF2,EHF2
MP,MP,MP,MP
ETH,ETH,ETH,ETH
ETHO,ETHO,ETHO,ETHO
ETS2,ETS2,ETS2,ETS2
EUCH,EUCH,EUCH,EUCH
ERV,ERV,ERV,ERV
EUFM,EUFM,EUFM,EUFM
ECC,ECC,ECC,ECC
ECI,ECI,ECI,ECI
EJE,EJE,EJE,EJE
EJED,EJED,EJED,EJED
EJH,EJH,EJH,EJH
EJHF,EJHF,EJHF,EJHF
EJI,2040,2040,EJI
EJIC,2005,2005,EJIC
EJLT,2114,2114,EJLT
ENE,ENE,ENE,ENE
EJN,EJN,EJN,EJN
EOS,EOS,EOS,EOS
EJOC,2046,2046,EJOC
EJP,EJP,EJP,EJP
PER,PER,PER,PER
EJOP,EJOP,EJOP,EJOP
EJPR,EJPR,EJPR,EJPR
EPDY,EPDY,EPDY,EPDY
EJSP,EJSP,EJSP,EJSP
EJSS,EJSS,EJSS,EJSS
EULJ,EULJ,EULJ,EULJ
EMRE,EMRE,EMRE,EMRE
ETT,ETT2,ETT2,ETT
EBMA,EBMG,EBMG,EBMA
EBM,EBMG,EBMG,EBM
EBM2,EBM2,EBM2,EBM2
EVO,EVO,EVO,EVO
EDE,EDE,EDE,EDE
EVAN,EVAN,EVAN,EVAN
EVA,EVA2,EVA2,EVA
EXD,EXD,EXD,EXD
EPH,EPH,EPH,EPH
JUM,JUM,JUM,JUM
EXSY,EXSY,EXSY,EXSY
FCSR,FCSR,FCSR,FCSR
FCRE,FCRE,FCRE,FCRE
FAMP,FAMP,FAMP,FAMP
FARE,FARE,FARE,FARE
FFE,FFE,FFE,FFE
FEBS,FEBS,FEBS,FEBS
FEB2,37288,37288,FEB2
FEB4,FEB4,FEB4,FEB4
FEDR,2243,2243,FEDR
FGC,FGC,FGC,FGC
FAAM,FAAM,FAAM,FAAM
FIMA,FIMA,FIMA,FIMA
FMII,FMII,FMII,FMII
FAM,FAM,FAM,FAM
FISC,FISC,FISC,FISC
FAF,FAF,FAF,FAF
FME,FME,FME,FME
FOG,FOG,FOG,FOG
FFJ,FFJ,FFJ,FFJ
FCT,FCT,FCT,FCT
FOGE,FOGE,FOGE,FOGE
FES3,FES3,FES3,FES3
FQU,FQU,FQU,FQU
FSN3,FSN3,FSN3,FSN3
FLAN,FLAN,FLAN,FLAN
AJS4,AJS4,AJS4,AJS4
EFP,EFP,EFP,EFP
FORS,2057,2057,FORS
PROP,2244,2244,PROP
FOS,FOS,FOS,FOS
FWB,FWB,FWB,FWB
FEE,FEE,FEE,FEE
FUCE,2293,2293,FUCE
FEC,FEC,FEC,FEC
FCP,FCP,FCP,FCP
FPS,FPS,FPS,FPS
GAMM,2250,2250,GAMM
YGH2,YGH2,YGH2,YGH2
GEND,GEND,GEND,GEND
GWAO,GWAO,GWAO,GWAO
GENA,GENA,GENA,GENA
GTC,GTC,GTC,GTC
GBB,GBB,GBB,GBB
GCC,GCC,GCC,GCC
DVG,DVG,DVG,DVG
GEPI,GEPI,GEPI,GEPI
GEA,GEA,GEA,GEA
GBI,GBI,GBI,GBI
GGGE,GGG3,GGG3,GGGE
GFL,GFL,GFL,GFL
AYF2,AYF2,AYF2,AYF2
BLMS,BLMS,BLMS,BLMS
GEAN,GEAN,GEAN,GEAN
GEOR,GEOR,GEOR,GEOR
GERE,GERE,GERE,GERE
GEO2,GEO2,GEO2,GEO2
GEC3,GEC3,GEC3,GEC3
GJ,GJ,GJ,GJ
GTO,GTO,GTO,GTO
GEOT,2478,2478,GEOT
GPR,GPR,GPR,GPR
GRL,GRL,GRL,GRL
GDJ3,GDJ3,GDJ3,GDJ3
GGR,GGR,GGR,GGR
GETE,2534,2534,GETE
GGI,GGI,GGI,GGI
GEER,GEER,GEER,GEER
GLAL,GLAL,GLAL,GLAL
GERM,2058,2058,GERM
GER,GER,GER,GER
GLIA,GLIA,GLIA,GLIA
GBC,GBC,GBC,GBC
JOE,JOE,JOE,JOE
GCH2,GCH2,GCH2,GCH2
GCB,GCB,GCB,GCB
GCBB,GCBB,GCBB,GCBB
GEB,GEB,GEB,GEB
GLOB,GLOB,GLOB,GLOB
GPOL,GPOL,GPOL,GPOL
GSJ,GSJ,GSJ,GSJ
GOVE,GOVE,GOVE,GOVE
GFS,GFS,GFS,GFS
GRS,GRS,GRS,GRS
GHG,GHG3,GHG3,GHG
GWAT,GWAT,GWAT,GWAT
GWMR,GWMR,GWMR,GWMR
