Journal,Journal Code
Abacus,ABAC
Academic Emergency Medicine,ACEM
Accounting & Finance,ACFI
Accounting Perspectives,APR
Acta Anaesthesiologica Scandinavica,AAS
Acta Crystallographica Section A: Foundations and Advances,AYA
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",AYB
Acta Crystallographica Section C: Structural Chemistry,AYC
Acta Crystallographica Section D: Structural Biology,AYD
Acta Geologica Sinica (English Edition),ACGS
Acta Neurologica Scandinavica,ANE
Acta Ophthalmologica,AOS
Acta Paediatrica: Nurturing the Child,APA
Acta Physiologica,APHA
Acta Psychiatrica Scandinavica,ACPS
Acta Zoologica,AZO
Addiction,ADD
Addiction Biology,ADB
Adultspan Journal,ADSP
Advanced Control for Applications,ADC2
Advanced Electronic Materials,AELM
Advanced Energy Materials,AENM
Advanced Engineering Materials,ADEM
Advanced Functional Materials,ADFM
Advanced Healthcare Materials,AHM
Advanced Materials,ADMA
Advanced Materials Interfaces,ADMI
Advanced Materials Technologies,ADMT
Advanced Optical Materials,ADOM
Advanced Quantum Technologies,QUTE
Advanced Sustainable Systems,ADSU
Advanced Synthesis & Catalysis,ADSC
Advanced Theory and Simulations,ADTS
Advanced Therapeutics,ADTP
Advances in Cell and Gene Therapy,ACG2
AEM Education and Training,AET2
African Development Review,AFDR
African Journal of Ecology,AJE
Aggressive Behavior,AB
Agribusiness,AGR
Agricultural and Forest Entomology,AFE
Agricultural Economics,AGEC
AIChE Journal,AIC
Alcoholism: Clinical & Experimental Research,ACER
Alimentary Pharmacology & Therapeutics,APT
Allergy,ALL
Alzheimer's & Dementia,ALZ
American Anthropologist,AMAN
American Business Law Journal,ABLJ
American Ethnologist,AMET
American Journal of Agricultural Economics,AJAE
American Journal of Botany,AJB2
American Journal of Community Psychology,AJCP
American Journal of Hematology,AJH
American Journal of Human Biology,AJHB
American Journal of Industrial Medicine,AJIM
American Journal of Medical Genetics Part A,AJMG
American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,AJMB
American Journal of Medical Genetics Part C:Seminars in Medical Genetics,AJMC
American Journal of Physical Anthropology,AJPA
American Journal of Political Science,AJPS
American Journal of Primatology,AJP
American Journal of Reproductive Immunology,AJI
American Journal of Transplantation,AJT
Anaesthesia,ANAE
Anaesthesia Reports,ANR3
Analyses of Social Issues and Public Policy,ASAP
Analysis & Sensing,ANSE
Analytic Philosophy,PHIB
"Anatomia, Histologia, Embryologia",AHE
Anatomical Sciences Education,ASE
Andrologia,AND
Andrology,ANDR
Angewandte Chemie,ANGE
Angewandte Chemie International Edition,ANIE
Animal Conservation,ACV
Animal Genetics,AGE
Animal Science Journal,ASJ
Annalen der Physik,ANDP
Annals of Anthropological Practice,NAPA
Annals of Applied Biology,AAB
Annals of Human Genetics,AHG
Annals of Neurology,ANA
Annals of Public and Cooperative Economics,APCE
Annals of the New York Academy of Sciences,NYAS
Anthropology & Education Quarterly,AEQ
Anthropology and Humanism,ANHU
Anthropology of Consciousness,ANOC
Anthropology of Work Review,AWR
Anthropology Today,ANTH
Antipode,ANTI
ANZ Journal of Surgery,ANS
AORN Journal,AORN
APMIS,APM
Applied Cognitive Psychology,ACP
Applied Economic Perspectives and Policy,AEPP
Applied Organometallic Chemistry,AOC
Applied Psychology,APPS
Applied Psychology: Health and Well-Being,APHW
Applied Stochastic Models in Business and Industry,ASMB
Applied Vegetation Science,AVSC
Aquaculture Nutrition,ANU
Aquaculture Research,ARE
Aquatic Conservation: Marine and Freshwater Ecosystems,AQC
Arabian Archaeology and Epigraphy,AAE
Archaeological Prospection,ARP
Archaeology in Oceania,ARCO
Archaeometry,ARCM
Archeological Papers of the American Anthropological Association,APAA
Archiv der Pharmazie,ARDP
Archives of Insect Biochemistry and Physiology,ARCH
Area,AREA
Art History,AHIS
Arthritis & Rheumatology,ART
Arthritis Care & Research,ACR
Artificial Organs,AOR
Asia Pacific Journal of Human Resources,APHR
Asia Pacific Viewpoint,APV
Asian Economic Journal,ASEJ
Asian Economic Policy Review,AEPR
Asian Journal of Control,ASJC
Asian Journal of Endoscopic Surgery,ASES
Asian Journal of Organic Chemistry,AJOC
Asian Journal of Social Psychology,AJSP
Asian Politics and Policy,ASPP
Asian Social Work and Policy Review,ASWP
Asian-Pacific Economic Literature,APEL
Asia-Pacific Journal of Chemical Engineering,APJ
Asia-Pacific Journal of Clinical Oncology,AJCO
Asia-Pacific Journal of Financial Studies,AJFS
Asia-Pacific Psychiatry,APPY
Astronomische Nachrichten,ASNA
Austral Ecology,AEC
Austral Entomology,AEN
Australasian Journal of Dermatology,AJD
Australasian Journal of Ultrasound in Medicine,AJUM
Australasian Journal on Ageing,AJAG
Australian & New Zealand Journal of Statistics,ANZS
Australian Accounting Review,AUAR
Australian and New Zealand Journal of Family Therapy,ANZF
Australian and New Zealand Journal of Obstetrics and Gynaecology,AJO
Australian Dental Journal,ADJ
Australian Economic History Review,AEHR
Australian Economic Papers,AEPA
Australian Endodontic Journal,AEJ
Australian Journal of Grape and Wine Research,AJGW
Australian Journal of Politics and History,AJPH
Australian Journal of Public Administration,AUPA
Australian Journal of Rural Health,AJR
Australian Journal of Social Issues,AJS4
Australian Occupational Therapy Journal,AOT
Australian Veterinary Journal,AVJ
Autism Research,AUR
AWWA Water Science,AWS2
Basic & Clinical Pharmacology & Toxicology,BCPT
Basin Research,BRE
Batteries & Supercaps,BATT
Behavioral Interventions,BIN
Behavioral Sciences & the Law,BSL
Berichte zur Wissenschaftsgeschichte,BEWI
Biochemistry and Molecular Biology Education,BMB
Bioelectromagnetics,BEM
BioEssays,BIES
Bioethics,BIOE
BioFactors,BIOF
"Biofuels, Bioproducts and Biorefining",BBB
Biological Reviews,BRV
Biology of the Cell,BOC
Biomedical Chromatography,BMC
Biometrical Journal,BIMJ
Biometrics,BIOM
Biopharmaceutics & Drug Disposition,BDD
Biopolymers,BIP
Biotechnology and Applied Biochemistry,BAB
Biotechnology and Bioengineering,BIT
Biotechnology Journal,BIOT
Biotechnology Progress,BTPR
Biotropica,BTP
Bipolar Disorders,BDI
Birth,BIRT
Birth Defects Research,BDR
BJOG: An International Journal of Obstetrics and Gynaecology,BJO
BJU International,BJU
British Educational Research Journal,BERJ
British Journal of Clinical Pharmacology,BCP
British Journal of Clinical Psychology,BJC
British Journal of Dermatology,BJD
British Journal of Developmental Psychology,BJDP
British Journal of Education Psychology,BJEP
British Journal of Educational Technology,BJET
British Journal of Haematology,BJH
British Journal of Health Psychology,BJHP
British Journal of Industrial Relations,BJIR
British Journal of Learning Disabilities,BLD
British Journal of Management,BJOM
British Journal of Mathematical and Statistical Psychology,BMSP
British Journal of Pharmacology,BPH
British Journal of Psychology,BJOP
British Journal of Psychotherapy,BJP
British Journal of Social Psychology,BJSO
British Journal of Special Education,BJSP
Bulletin of Economic Research,BOER
Bulletin of Latin American Research,BLAR
Bulletin of the Korean Chemical Society,BKCS
Bulletin of the London Mathematical Society,BLMS
Business and Society Review,BASR
Business Ethics: A European Review,BEER
Business Strategy and Development,BSD2
Business Strategy and the Environment,BSE
Canadian Journal of Administrative SciencesRevue Canadienne des Sciences de l'Administration,CJAS
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,CJAG
Canadian Journal of Economics/Revue canadienne d'économique,CAJE
Canadian Public Administration/AdministrationPublique du Canada,CAPA
Canadian Review of Sociology/Revue canadienne de sociologie,CARS
Cancer,CNCR
Cancer Cytopathology,CNCY
Catheterization and Cardiovascular Interventions,CCD
Cell Biochemistry & Function,CBF
Cell Biology International,CBIN
Cellular Microbiology,CMI
Centaurus,CNT
Cereal Chemistry,CCHE
ChemBioChem,CBIC
ChemBioEng Reviews,CBEN
ChemCatChem,CCTC
ChemElectroChem,CELC
Chemical Biology & Drug Design,CBDD
Chemical Engineering & Technology,CEAT
Chemie-Ingenieur-Technik (CIT),CITE
Chemistry - A European Journal,CHEM
Chemistry - An Asian Journal,ASIA
Chemistry & Biodiversity,CBDV
ChemistrySelect,SLCT
ChemMedChem,CMDC
CHEMNANOMAT,CNMA
ChemPhotoChem,CPTC
ChemPhysChem,CPHC
ChemPlusChem,CPLU
ChemSusChem,CSSC
ChemSystemsChem,E570
Child & Family Social Work,CFS
Child Abuse Review,CAR
Child and Adolescent Mental Health,CAMH
Child Development,CDEV
Child Development Perspectives,CDEP
"Child: Care, Health and Development",CCH
Children & Society,CHSO
China & World Economy,CWE
Chinese Journal of Chemistry,CJOC
Chirality,CHIR
City & Society,CISO
Civil Engineering Design,CEND
Cladistics,CLA
"CLEAN – Soil, Air, Water",CLEN
Clinical & Experimental Allergy,CEA
Clinical & Experimental Ophthalmology,CEO
Clinical Advances in Periodontics,CAP
Clinical Anatomy,CA
Clinical and Experimental Dermatology,CED
Clinical and Experimental Neuroimmunology,CEN3
Clinical and Experimental Pharmacology and Physiology,CEP
Clinical Endocrinology,CEN
Clinical Genetics,CGE
Clinical Implant Dentistry and Related Research,CID
Clinical Obesity,COB
Clinical Oral Implants Research,CLR
Clinical Otolaryngology,COA
Clinical Pharmacology & Therapeutics,CPT
Clinical Pharmacology in Drug Development,CPDD
Clinical Physiology and Functional Imaging,CPF
Clinical Psychology & Psychotherapy,CPP
Clinical Transplantation,CTR
Cochrane Library,TCL
Cognitive Science - A Multidisciplinary Journal,COGS
Color Research and Application,COL
Coloration Technology,COTE
Colorectal Disease,CODI
Communications on Pure and Applied Mathematics,CPA
Community Dentistry and Oral Epidemiology,CDOE
Computational and Mathematical Methods,CMM4
Computational Intelligence,COIN
Computer Animation & Virtual Worlds,CAV
Computer Applications In Engineering Education,CAE
Computer Graphics Forum,CGF
Computer-Aided Civil and Infrastructure Engineering,MICE
Concurrency and Computation: Practice and Experience,CPE
Conflict Resolution Quarterly,CRQ
Congenital Anomalies,CGA
Conservation Biology,COBI
Constellations,CONS
Consumer Psychology Review,ARCP
Contact Dermatitis,COD
Contemporary Accounting Research,CARE
Contemporary Economic Policy,COEP
Contributions to Plasma Physics,CTPP
Corporate Governance: An International Review,CORG
Corporate Social Responsibility and EnvironmentalManagement,CSR
Counseling and Values,CVJ
Counselling and Psychotherapy Research,CAPR
Counselor Education and Supervision,CEAS
Creativity and Innovation Management,CAIM
Criminal Behaviour and Mental Health,CBM
Criminology,CRIM
Criminology and Public Policy,CAPP
Critical Quarterly,CRIQ
"Crop, Forage & Turfgrass Management",CFT2
Crystal Research & Technology,CRAT
"Culture, Agriculture, Food and Environment",CUAG
Curator: The Museum Journal,CURA
Current Protocols Essential Laboratory Techniques,CPET
Current Protocols in Bioinformatics,CPBI
Current Protocols in Cell Biology,CPCB
Current Protocols in Chemical Biology,CPCH
Current Protocols in Cytometry,CPCY
Current Protocols in Human Genetics,CPHG
Current Protocols in Immunology,CPIM
Current Protocols in Microbiology,CPMC
Current Protocols in Molecular Biology,CPMB
Current Protocols in Mouse Biology,CPMO
Current Protocols in Neuroscience,CPNS
Current Protocols in Nucleic Acid Chemistry,CPNC
Current Protocols in Pharmacology,CPPH
Current Protocols in Plant Biology,CPPB
Current Protocols in Protein Science,CPPS
Current Protocols in Stem Cell Biology,CPSC
Current Protocols in Toxicology,CPTX
Curtis's Botanical Magazine,CURT
Cytometry Part A,CYTB
Cytometry Part B: Clinical Cytometry,CYTO
Cytopathology,CYT
Cytoskeleton,CM
Decision Sciences,DECI
Decision Sciences Journal of Innovative Education,DSJI
Dental Traumatology,EDT
Depression and Anxiety,DA
Dermatologic Therapy,DTH
Dermatological Reviews,DER2
Design Management Journal,DMJ
Design Management Review,DREV
Developing World Bioethics,DEWB
Development and Change,DECH
Development Policy Review,DPR
"Development, Growth & Differentiation",DGD
Developmental Dynamics,DVDY
Developmental Medicine & Child Neurology,DMCN
Developmental Neurobiology,DNEU
Developmental Psychobiology,DEV
Developmental Science,DESC
"Diabetes, Obesity and Metabolism",DOM
Diabetes/Metabolism Research and Reviews,DMRR
Diabetic Medicine,DME
Diagnostic Cytopathology,DC
Dialog,DIAL
Die Unterrichtspraxis/Teaching German,TGER
Digest of Middle East Studies,DOME
Digestive Endoscopy,DEN
Disasters,DISA
Drug and Alcohol Review,DAR
Drug Development Research,DDR
Drug Testing and Analysis,DTA
Dyslexia,DYS
Early Intervention in Psychiatry,EIP
Early Medieval Europe,EMED
Earth Surface Processes and Landforms,ESP
Earthquake Engineering & Structural Dynamics,EQE
Echocardiography,ECHO
Ecohydrology,ECO
Ecological Applications,EAP
Ecological Entomology,EEN
Ecological Management & Restoration,EMR
Ecological Monographs,ECM
Ecological Research,ERE
Ecology,ECY
Ecology Letters,ELE
Ecology of Freshwater Fish,EFF
Econometrica,ECTA
Economica,ECCA
Economic Affairs,ECAF
Economic Anthropology,SEA2
Economic Inquiry,ECIN
Economic Notes,ECNO
Economic Papers,ECPA
Economic Record,ECOR
Economics & Politics,ECPO
Economics of Transition and Institutional Change,ECOT
Educational Theory,EDTH
Electrical Engineering in Japan,EEJ
Electroanalysis,ELAN
Electronics and Communications in Japan,ECJ
ELECTROPHORESIS,ELPS
EMBO Reports,EMBR
Emergency Medicine Australasia,EMM
Energy Storage,EST2
Energy Technology,ENTE
Entomologia Experimentalis et Applicata,EEA
Entomological Research,ENR
Entomological Science,ENS
Environmental and Molecular Mutagenesis,EM
Environmental Microbiology,EMI
Environmental Microbiology Reports,EMI4
Environmental Policy and Governance,EET
Environmental Progress & Sustainable Energy,EP
Environmental Quality Management,TQEM
Environmental Toxicology,TOX
Environmental Toxicology and Chemistry,ETC
Environmetrics,ENV
Epilepsia,EPI
EPPO Bulletin,EPP
Equine Veterinary Education,EVE
Equine Veterinary Journal,EVJ
Ethics & Human Research,EAHR
Ethology,ETH
Ethos,ETHO
EuroChoices,EUCH
European Eating Disorders Review,ERV
European Financial Management,EUFM
European Journal of Cancer Care,ECC
European Journal of Clinical Investigation,ECI
European Journal of Dental Education,EJE
European Journal of Education,EJED
European Journal of Haematology,EJH
European Journal of Heart Failure,EJHF
European Journal of Immunology,EJI
European Journal of Inorganic Chemistry,EJIC
European Journal of Lipid Science and Technology,EJLT
European Journal of Neurology,ENE
European Journal of Neuroscience,EJN
European Journal of Oral Sciences,EOS
European Journal of Organic Chemistry,EJOC
European Journal of Pain,EJP
European Journal of Philosophy,EJOP
European Journal of Political Research,EJPR
European Journal of Political Research Political Data Yearbook,EPDY
European Journal of Social Psychology,EJSP
European Journal of Soil Science,EJSS
European Law Journal,EULJ
European Management Review,EMRE
European Policy Analysis,EPA2
Evolution,EVO
Evolution & Development,EDE
Evolutionary Anthropology,EVAN
Experimental Dermatology,EXD
Experimental Physiology,EPH
Expert Systems,EXSY
Family & Consumer Sciences Research Journal,FCSR
Family Court Review,FCRE
Family Process,FAMP
Family Relations,FARE
Fatigue & Fracture of Engineering Materials & Structures,FFE
FEBS Letters,FEB2
Feddes Repertorium,FEDR
Feminist Anthropology,FEA2
Financial Accountability & Management,FAAM
Financial Management,FIMA
"Financial Markets, Institutions & Instruments",FMII
Financial Planning Review,CFP2
Fire and Materials,FAM
Fiscal Studies,FISC
Fish and Fisheries,FAF
Fisheries,FSH
Fisheries Management and Ecology,FME
Fisheries Oceanography,FOG
Flavour and Fragrance Journal,FFJ
Foreign Language Annals,FLAN
Forest Pathology,EFP
Fortschritte der Physik,PROP
Freshwater Biology,FWB
Frontiers in Ecology and the Environment,FEE
Fuel Cells,FUCE
Functional Ecology,FEC
Fundamental & Clinical Pharmacology,FCP
Futures & Foresight Science,FFO2
GAMM - Mitteilungen,GAMM
GastroHep,YGH2
Gender & History,GEND
"Gender, Work & Organisation",GWAO
General Anthropology,GENA
Genes to Cells,GTC
"Genes, Chromosomes and Cancer",GCC
Genesis: The Journal of Genetics and Development,DVG
Genetic Epidemiology,GEPI
Geoarchaeology,GEA
Geobiology,GBI
Geographical Analysis,GEAN
Geographical Research,GEOR
Geography Compass (Electronic),GEC3
Geological Journal,GJ
Geophysical Prospecting,GPR
Geophysical Research Letters,GRL
Geostandards & Geoanalytical Research,GGR
Geriatrics & Gerontology International,GGI
German Life and Letters,GLAL
Gerodontology,GER
Glia,GLIA
Global Biogeochemical Cycles,GBC
Global Business and Organizational Excellence,JOE
Global Change Biology,GCB
Global Ecology and Biogeography,GEB
Global Networks,GLOB
Global Policy,GPOL
Global Strategy Journal,GSJ
Governance,GOVE
Grass and Forage Science,GFS
Grassland Science,GRS
Greenhouse Gases: Science and Technology,GHG
Groundwater,GWAT
Groundwater Monitoring & Remediation,GWMR
Growth and Change,GROW
Haemophilia,HAE
Hastings Center Report,HAST
Head & Neck,HED
Headache: The Journal of Head and Face Pain,HEAD
Health and Social Care in the Community,HSC
Health Economics,HEC
Health Information and Libraries Journal,HIR
Health Promotion Journal of Australia,HPJA
Health Services Research,HESR
Heat Transfer - Asian Research,HTJ
Helicobacter,HEL
Helvetica Chimica Acta,HLCA
Hematological Oncology,HON
Hemodialysis International,HDI
Hepatology,HEP
Hepatology Research,HEPR
Higher Education Quarterly,HEQU
Hippocampus,HIPO
Histopathology,HIS
History,HIST
History and Theory,HITH
History Compass,HIC3
HIV Medicine,HIV
HLA: Immune Response Genetics,TAN
Human Behavior and Emerging Technologies,HBE2
Human Factors and Ergonomics in Manufacturing & Service Industries,HFM
Human Mutation,HUMU
Human Psychopharmacology: Clinical and Experimental,HUP
Human Resource Development Quarterly,HRDQ
Human Resource Management,HRM
Human Resource Management Journal,HRMJ
Hydrological Processes,HYP
Ibis,IBI
Immunological Reviews,IMR
Immunology,IMM
Immunology & Cell Biology,IMCB
Indoor Air,INA
Industrial Relations,IREL
Industrial Relations Journal,IRJ
Infancy,INFA
Infant and Child Development,ICD
Infant Mental Health Journal,IMHJ
Information Systems Journal,ISJ
Insect Conservation and Diversity,ICAD
Insect Molecular Biology,IMB
Insect Science,INS
Integrated Environmental Assessment and Management,IEAM
Integrative Zoology,INZ2
"Intelligent Systems in Accounting, Finance and Management",ISAF
Internal Medicine Journal,IMJ
International Economic Review,IERE
International Endodontic Journal,IEJ
International Finance,INFI
International Forum of Allergy & Rhinology,ALR
International Insolvency Review,IIR
International Journal for Numerical and Analytical Methods in Geomechanics,NAG
International Journal for Numerical Methods in Biomedical Engineering,CNM
International Journal for Numerical Methods in Engineering,NME
International Journal for Numerical Methods in Fluids,FLD
International Journal of Adaptive Control and Signal Processing,ACS
International Journal of Applied Ceramic Technology,IJAC
International Journal of Applied Glass Science,IJAG
International Journal of Applied Linguistics,IJAL
International Journal of Applied Psychoanalytic Studies,APS
International Journal of Art & Design Education,JADE
International Journal of Auditing,IJAU
International Journal of Cancer,IJC
International Journal of Chemical Kinetics,KIN
International Journal of Circuit Theory & Applications,CTA
International Journal of Climatology,JOC
International Journal of Clinical Practice,IJCP
International Journal of Communication Systems,DAC
International Journal of Consumer Studies,IJCS
International Journal of Cosmetic Science,ICS
International Journal of Dairy Technology,IDT
International Journal of Dental Hygiene,IDH
International Journal of Dermatology,IJD
International Journal of Developmental Neuroscience,JDN
International Journal of Eating Disorders,EAT
International Journal of Economic Theory,IJET
International Journal of Energy Research,ER
International Journal of Experimental Pathology,IEP
International Journal of Finance & Economics,IJFE
International Journal of Food Science & Technology,IJFS
International Journal of Geriatric Psychiatry,GPS
International Journal of Gynecology &Obstetrics,IJGO
International Journal of Imaging Systems and Technology,IMA
International Journal of Immunogenetics,IJI
International Journal of Intelligent Systems,INT
International Journal of Japanese Sociology,IJJS
International Journal of Laboratory Hematology,IJLH
International Journal of Language & CommunicationDisorders,JLCD
International Journal of Management Reviews,IJMR
International Journal of Mental Health Nursing,INM
International Journal of Network Management,NEM
International Journal of Nonprofit and Voluntary Sector Marketing,NVSM
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",JNM
International Journal of Nursing Knowledge,IJNT
International Journal of Nursing Practice,IJN
International Journal of Older People Nursing,OPN
International Journal of Osteoarchaeology,OA
International Journal of Paediatric Dentistry,IPD
International Journal of Psychology,IJOP
International Journal of Quantum Chemistry,QUA
International Journal of RF and Microwave Computer-Aided Engineering,MMCE
International Journal of Rheumatic Diseases,APL
International Journal of Robust and Nonlinear Control,RNC
International Journal of Satellite Communications and Networking,SAT
International Journal of Selection and Assessment,IJSA
International Journal of Social Welfare,IJSW
International Journal of Systematic Theology,IJST
International Journal of Tourism Research,JTR
International Journal of Training and Development,IJTD
International Journal of Urban and Regional Research,IJUR
International Journal of Urological Nursing,IJUN
International Journal of Urology,IJU
International Labour Review,ILR
International Migration,IMIG
International Nursing Review,INR
International Review of Finance,IRFI
International Review of Hydrobiology,IROH
International Review of Mission,IROM
International Social Science Journal,ISSJ
International Social Security Review,ISSR
International Statistical Review,INSR
International Transactions in Operational Research,ITOR
International Transactions on Electrical Energy Systems,ETEP
Internet Technology Letters,ITL2
Invertebrate Biology,IVB
IPPR Progressive Review,NEWE
Irrigation and Drainage,IRD
ISBT Science Series,VOXS
Island Arc,IAR
Israel Journal of Chemistry,2525
IUBMB Life,IUB
JACCP:  Journal of the American College of Clinical Pharmacy,JAC5
Japan Journal of Nursing Science,JJNS
JCMS: Journal of Common Market Studies,JCMS
Journal AWWA,AWWA
Journal der Deutschen Dermatologischen Gesellschaft,DDG
Journal For Eighteenth-Century Studies,JECS
Journal for Specialists In Pediatric Nursing,JSPN
Journal for the Anthropology of North America,NAD2
Journal for the Scientific Study of Religion,JSSR
Journal for the Theory of Social Behaviour,JTSB
Journal of Accounting Research,JOAR
Journal of Addictions & Offender Counseling,JAOC
Journal of Adolescent & Adult Literacy,JAAL
Journal of Advanced Manufacturing and Processing,AMP2
Journal of Advanced Nursing,JAN
Journal of Agrarian Change,JOAC
Journal of Agricultural Economics,JAGE
Journal of Agronomy and Crop Science,JAC
Journal of American Geriatrics Society,JGS
Journal of Analytical Psychology,JOAP
Journal of Anatomy,JOA
Journal of Animal Breeding and Genetics,JBG
Journal of Animal Ecology,JANE
Journal of Animal Physiology and Animal Nutrition,JPN
Journal of Applied Behavior Analysis,JABA
Journal of Applied Corporate Finance,JACF
Journal of Applied Crystallography,JCR
Journal of Applied Ecology,JPE
Journal of Applied Econometrics,JAE
Journal of Applied Entomology,JEN
Journal of Applied Ichthyology,JAI
Journal of Applied Microbiology,JAM
Journal of Applied Philosophy,JAPP
Journal of Applied Polymer Science,APP
Journal of Applied Research in Intellectual Disabilities,JAR
Journal of Applied Social Psychology,JASP
Journal of Applied Toxicology,JAT
Journal of Aquatic Animal Health,AAH
Journal of Avian Biology,JAV
Journal of Basic Microbiology,JOBM
Journal of Behavioral Decision Making,BDM
Journal of Biochemical and Molecular Toxicology,JBT
Journal of Biogeography,JBI
Journal of Biomedical Materials Research Part A,JBM
Journal of Biomedical Materials Research Part B: Applied Biomaterials,JBMB
Journal of Biophotonics,JBIO
Journal of Bone and Mineral Research,JBMR
Journal of Business Finance & Accounting,JBFA
Journal of Business Logistics,JBL
Journal of Cardiac Surgery,JOCS
Journal of Cardiovascular Electrophysiology,JCE
Journal of Cellular Biochemistry,JCB
Journal of Cellular Physiology,JCP
Journal of Chemical Technology and Biotechnology,JCTB
Journal of Chemometrics,CEM
Journal of Child and Adolescent Psychiatric Nursing,JCAP
Journal of Child Psychology and Psychiatry,JCPP
Journal of Clinical Apheresis,JCA
Journal of Clinical Nursing,JOCN
