Journal,Journal Code
Journal of Clinical Periodontology,JCPE
Journal of Clinical Pharmacology,JCPH
Journal of Clinical Pharmacy and Therapeutics,JCPT
Journal of Clinical Psychology,JCLP
Journal of Clinical Ultrasound,JCU
Journal of College Counseling,JOCC
Journal of Combinatorial Designs,JCD
Journal of Community & Applied Social Psychology,CASP
Journal of Community Psychology,JCOP
Journal of Computational Chemistry,JCC
Journal of Computer Assisted Learning,JCAL
Journal of Consumer Affairs,JOCA
Journal of Consumer Behaviour,CB
Journal of Consumer Psychology,JCPY
Journal of Contingencies and Crisis Management,JCCM
Journal of Corporate Accounting & Finance,JCAF
Journal of Cosmetic Dermatology,JOCD
Journal of Counseling & Development,JCAD
Journal of Cutaneous Pathology,CUP
Journal of Dental Education,JDD
Journal of Diabetes,JDB
Journal of Digestive Diseases,CDD
Journal of Ecology,JEC
Journal of Economic Surveys,JOES
Journal of Economics & Management Strategy,JEMS
Journal of Empirical Legal Studies,JELS
Journal of Employment Counseling,JOEC
Journal of Engineering Education,JEE
Journal of Esthetic and Restorative Dentistry,JERD
Journal of Eukaryotic Microbiology,JEU
Journal of Evaluation in Clinical Practice,JEP
Journal of Evidence-Based Medicine,JEBM
Journal of Evolutionary Biology,JEB
Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,JEZ
Journal of Experimental Zoology Part B Molecular and Developmental Evolution,JEZ.B
Journal of Family Theory & Review,JFTR
Journal of Family Therapy,JOFT
Journal of Field Ornithology,JOFO
Journal of Field Robotics,ROB
Journal of Fish Biology,JFB
Journal of Fish Diseases,JFD
Journal of Food Biochemistry,JFBC
Journal of Food Process Engineering,JFPE
Journal of Food Processing and Preservation,JFPP
Journal of Food Safety,JFS
Journal of Food Science,JFDS
Journal of Forecasting,FOR
Journal of Forensic Sciences,JFO
Journal of Gastroenterology and Hepatology,JGH
Journal of Genetic Counseling,JGC4
Journal of Geophysical Research: Atmospheres,JGRD
Journal of Geophysical Research: Biogeosciences,JGRG
Journal of Geophysical Research: Earth Surface,JGRF
Journal of Geophysical Research: Oceans,JGRC
Journal of Geophysical Research: Planets,JGRE
Journal of Geophysical Research: Solid Earth,JGRB
Journal of Geophysical Research: Space Physics,JGRA
Journal of Graph Theory,JGT
Journal of Healthcare Risk Management,JHRM
Journal of Hepato-Biliary-Pancreatic Sciences,JHBP
Journal of Heterocyclic Chemistry,JHET
Journal of Historical Sociology,JOHS
Journal of Human Nutrition and Dietetics,JHN
Journal of Industrial Ecology,JIEC
Journal of Inherited Metabolic Disease,JIMD
Journal of Integrative Plant Biology,JIPB
Journal of Intellectual Disability Research,JIR
Journal of Interior Design,JOID
Journal of Internal Medicine,JOIM
Journal of International Development,JID
Journal of International Financial Management & Accounting,JIFM
Journal of Investigative Psychology and Offender Profiling,JIP
Journal of Labelled Compounds and Radiopharmaceuticals,JLCR
Journal of Latin American & Caribbean Anthropology,JLCA
Journal of Law and Society,JOLS
Journal of Leadership Studies,JLS
Journal of Legal Studies Education,JLSE
Journal of Leukocyte Biology,JLB
Journal of Linguistic Anthropology,JOLA
Journal of Magnetic Resonance Imaging,JMRI
Journal of Management Studies,JOMS
Journal of Marital and Family Therapy,JMFT
Journal of Marriage and Family,JOMF
Journal of Mass Spectrometry,JMS
Journal of Medical Imaging and Radiation Oncology,ARA
Journal of Medical Primatology,JMP
Journal of Medical Virology,JMV
Journal of Metamorphic Geology,JMG
Journal of Microscopy,JMI
Journal of Midwifery & Women's Health,JMWH
Journal of Molecular Recognition,JMR
"Journal of Money, Credit and Banking",JMCB
Journal of Morphology,JMOR
Journal of Multi-Criteria Decision Analysis,MCDA
Journal of Multicultural Counseling and Development,JMCD
Journal of Neurochemistry,JNC
Journal of Neuroendocrinology,JNE
Journal of Neuroimaging,JON
Journal of Neuropsychology,JNP
Journal of Neuroscience Research,JNR
Journal of Nursing Management,JONM
Journal of Nursing Scholarship,JNU
Journal of Obstetrics and Gynaecology Research,JOG
Journal of Occupational and Organizational Psychology,JOOP
Journal of Operations Management,JOOM
Journal of Oral Pathology & Medicine,JOP
Journal of Oral Rehabilitation,JOOR
Journal of Organizational Behavior,JOB
Journal of Orthopaedic Research ®,JOR
Journal of Paediatrics and Child Health,JPC
Journal of Parenteral and Enteral Nutrition,JPEN
Journal of Peptide Science,PSC
Journal of Periodontal Research,JRE
Journal of Periodontology,JPER
Journal of Personality,JOPY
Journal of Petroleum Geology,JPG
Journal of Pharmacy Practice and Research,JPPR
Journal of Philosophy of Education,JOPE
Journal of Phycology,JPY
Journal of Physical Organic Chemistry,POC
Journal of Phytopathology,JPH
Journal of Pineal Research,JPI
Journal of Plant Nutrition and Soil Science,JPLN
Journal of Policy Analysis and Management,PAM
Journal of Policy and Practice In Intellectual Disabilities,JPPI
Journal of Polymer Science,POL
Journal of Product Innovation Management,JPIM
Journal of Prosthodontics,JOPR
Journal of Psychiatric and Mental Health Nursing,JPM
Journal of Public Affairs,PA
Journal of Public Economic Theory,JPET
Journal of Public Health Dentistry,JPHD
Journal of Quaternary Science,JQS
Journal of Raman Spectroscopy,JRS
Journal Of Regional Science,JORS
Journal of Religious Ethics,JORE
Journal of Religious History,JORH
Journal of Renal Care,JORC
Journal of Research in Reading,JRIR
Journal of Research in Science Teaching,TEA
Journal of Research in Special Educational Needs,JRS3
Journal of Research On Adolescence,JORA
Journal of Risk and Insurance,JORI
Journal of School Health,JOSH
Journal of Sensory Studies,JOSS
Journal of Separation Science,JSSC
Journal of Sleep Research,JSR
Journal of Small Animal Practice,JSAP
Journal of Social Issues,JOSI
Journal of Social Philosophy,JOSP
Journal of Sociolinguistics,JOSL
Journal of Software: Evolution and Process,SMR
Journal of Supreme Court History,JSCH
Journal of Supply Chain Management,JSCM
Journal of Surfactants and Detergents,JSDE
Journal of Surgical Oncology,JSO
Journal of Synchrotron Radiation,JSY
Journal of Systematics and Evolution,JSE
Journal of Texture Studies,JTXS
Journal of the American Ceramic Society,JACE
Journal of The American Oil Chemists' Society,AOCS
Journal of the American Water Resources Association,JAWR
Journal of the Association for Information Science and Technology,ASI
Journal of the Chinese Chemical Society,JCCS
Journal of the European Academy of Dermatology and Venereology,JDV
Journal of the Experimental Analysis of Behavior,JEAB
Journal of the History of the Behavioral Sciences,JHBS
Journal of the Institute of Brewing,JIB
Journal of the London Mathematical Society,JLMS
Journal of the Peripheral Nervous System,JNS
Journal of the Royal Anthropological Institute,JRAI
Journal of the Royal Statistical Society: Series A (Statistics in Society),RSSA
Journal of the Royal Statistical Society: Series B (Statistical Methodology),RSSB
Journal of the Royal Statistical Society: Series C (Applied Statistics),RSSC
Journal of the Science of Food and Agriculture,JSFA
Journal of the Society for Information Display,JSID
Journal of Theoretical Social Psychology,JTS5
Journal of Thrombosis and Haemostasis,JTH
Journal of Time Series Analysis,JTSA
Journal of Tissue Engineering and Regenerative Medicine,TERM
Journal of Topology,TOPO
Journal of Traumatic Stress,JTS
Journal of Ultrasound in Medicine,JUM
Journal of Vegetation Science,JVS
Journal of Veterinary Emergency and Critical Care,VEC
Journal of Veterinary Pharmacology and Therapeutics,JVP
Journal of Vinyl & Additive Technology,VNL
Journal of Viral Hepatitis,JVH
Journal of Zoological Systematics and Evolutionary Research,JZS
Journal of Zoology,JZO
Juvenile and Family Court Journal,JFCJ
Knowledge and Process Management,KPM
Kyklos,KYKL
LABOUR,LABR
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",LRE
Land Degradation and Development,LDR
Language & Linguistics Compass,LNC3
Language Learning,LANG
Laser & Photonics Reviews,LPOR
Lasers in Surgery and Medicine,LSM
Latin American Policy,LAMP
Law & Policy,LAPO
Law & Society Review,LASR
Learned Publishing,LEAP
Learning Disabilities Research & Practice,LDRP
Legal and Criminological Psychology,LCRP
Legislative Studies Quarterly,LSQ
Lethaia,LET
Letters In Applied Microbiology,LAM
Limnology and Oceanography,LNO
Limnology and Oceanography Bulletin,LOB
Limnology and Oceanography: Methods,LOM3
Lipids,LIPD
Literacy,LIT
Literature Compass,LIC3
Liver International,LIV
Liver Transplantation,LT
Lubrication Science,LS
Luminescence: The Journal of Biological and Chemical Luminescence,BIO
LUTS,LUTS
Macromolecular Bioscience,MABI
Macromolecular Chemistry and Physics,MACP
Macromolecular Materials and Engineering,MAME
Macromolecular Rapid Communications,MARC
Macromolecular Reaction Engineering,MREN
Macromolecular Symposia,MASY
Macromolecular Theory and Simulations,MATS
Magnetic Resonance in Chemistry,MRC
Magnetic Resonance in Medicine,MRM
Mammal Review,MAM
Managerial and Decision Economics,MDE
Marine Ecology,MAEC
Marine Mammal Science,MMS
Mass Spectrometry Reviews,MAS
Material Design & Processing Communications,MDP2
Materials and Corrosion,MACO
Materialwissenschaft und Werkstofftechnik,MAWE
Mathematical Finance,MAFI
Mathematical Logic Quarterly,MALQ
Mathematical Methods in the Applied Sciences,MMA
Mathematische Nachrichten,MANA
Mathematika,MTK
Medical and Veterinary Entomology,MVE
Medical Anthropology Quarterly,MAQ
Medical Devices & Sensors,MDS3
Medical Education,MEDU
Medical Journal of Australia,MJA2
Medical Physics,MP
Medicinal Research Reviews,MED
Metaphilosophy,META
Meteoritics & Planetary Science,MAPS
Methods in Ecology and Evolution,MEE3
Metroeconomica,MECA
Microbiology and Immunology,MIM
Microcirculation,MICC
Microscopy Research and Technique,JEMT
Microsurgery,MICR
Microwave and Optical Technology Letters,MOP
Middle East Policy,MEPO
Milton Quarterly,MILT
Mind & Language,MILA
"Mind, Brain, and Education",MBE
Modern Law Review,MLR
Modern Theology,MOTH
Molecular Carcinogenesis,MC
Molecular Ecology,MEC
Molecular Ecology Resources,MEN
Molecular Informatics,MINF
Molecular Microbiology,MMI
Molecular Nutrition & Food Research,MNFR
Molecular Oral Microbiology,OMI
Molecular Reproduction & Development,MRD
Monographs of the Society for Research in Child Development,MONO
Movement Disorders,MDS
Movement Disorders Clinical Practice(Electronic),MDC3
Muscle & Nerve,MUS
Musculoskeletal Care,MSC
Museum Anthropology,MUAN
Music Analysis,MUSA
Mycoses,MYC
Nations and Nationalism,NANA
Natural Resources Forum,NARF
Natural Sciences Education,NSE2
Naval Research Logistics,NAV
Navigation,NAVI
Near Surface Geophysics,NSG
Negotiation Journal,NEJO
Nephrology,NEP
Networks,NET
Neurogastroenterology & Motility,NMO
Neurology and Clinical Neuroscience,NCN3
Neuromodulation,NER
Neuropathology,NEUP
Neuropathology and Applied Neurobiology,NAN
Neurourology and Urodynamics,NAU
New Blackfriars,NBFR
New Directions for Adult and Continuing Education,ACE
New Directions for Child and Adolescent Development,CAD
New Directions for Community Colleges,CC
New Directions for Evaluation,EV
New Directions for Higher Education,HE
New Directions for Institutional Research,IR
New Directions for Student Leadership,YD
New Directions for Student Services,SS
New Directions for Teaching and Learning,TL
New Phytologist,NPH
"New Technology, Work and Employment",NTWE
New Zealand Geographer,NZG
NMR in Biomedicine,NBM
Nordic Journal of Botany,NJB
North American Journal of Aquaculture,NAAQ
Nonprofit Management and Leadership,NML
North American Journal of Fisheries Management,NAFM
Noûs,NOUS
Numerical Linear Algebra With Applications,NLA
Numerical Methods for Partial Differential Equations,NUM
Nursing & Health Sciences,NHS
Nursing Forum,NUF
Nursing In Critical Care,NICC
Nursing Inquiry,NIN
Nursing Philosophy,NUP
Nutrition & Dietetics,NDI
Nutrition Bulletin,NBU
Nutrition in Clinical Practice,NCP
Obesity,OBY
Obesity Reviews,OBR
Oceania,OCEA
Oikos,OIK
OPEC Energy Review,OPEC
Ophthalmic and Physiological Optics,OPO
Optimal Control Applications and Methods,OCA
Oral Diseases,ODI
Oral Science International,OSI2
Oral Surgery,ORS
Orbis Litterarum,OLI
Orthodontics & Craniofacial Research,OCR
Oxford Bulletin of Economics and Statistics,OBES
Oxford Journal of Archaeology,OJOA
Pacific Economic Review,PAER
Pacific Focus,PAFO
Pacific Philosophical Quarterly,PAPQ
Pacing and Clinical Electrophysiology,PACE
Packaging Technology and Science,PTS
Paediatric and Perinatal Epidemiology,PPE
Pain Practice,PAPR
Palaeontology,PALA
Paleoceanography and Paleoclimatology,PALO
Papers in Palaeontology,SPP2
Papers In Regional Science,PIRS
Parasite Immunology,PIM
Parliamentary History,PARH
Particle & Particle Systems Characterization,PPSC
Pathology International,PIN
Peace & Change,PECH
Pediatric Allergy and Immunology,PAI
Pediatric Anesthesia,PAN
Pediatric Blood & Cancer,MPO
Pediatric Dermatology,PDE
Pediatric Diabetes,PEDI
Pediatric Obesity,IJPO
Pediatric Pulmonology,PPUL
Pediatric Transplantation,PETR
Pediatrics International,PED
Peptide Science,PEP2
Performance Improvement,PFI
Performance Improvement Quarterly,PIQ
Periodontology 2000,PRD
Permafrost and Periglacial Processes,PPP
Personal Relationships,PERE
Personality and Mental Health,PMH
Personnel Psychology,PEPS
Perspectives In Psychiatric Care,PPC
Perspectives On Sexual and Reproductive Health,PSRH
Pest Management Science,PS
Pharmaceutical Statistics,PST
Pharmacoepidemiology and Drug Safety,PDS
Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy,PHAR
Philosophical Forum,PHIL
Philosophical Investigations,PHIN
Philosophical Issues,PHIS
Philosophical Perspectives,PHPE
Philosophy & Public Affairs,PAPA
Philosophy and Phenomenological Research,PHPR
Philosophy Compass,PHC3
Photochemistry and Photobiology,PHP
"Photodermatology, Photoimmunology & Photomedicine",PHPP
Phycological Research,PRE
physica status solidi (a) applications and materials science,PSSA
physica status solidi (b) basic solid state physics,PSSB
physica status solidi (RRL) rapid research letters,PSSR
Physik in unserer Zeit,PIUZ
Physiologia Plantarum,PPL
Physiological Entomology,PHEN
Physiotherapy Research International,PRI
Phytochemical Analysis,PCA
Phytotherapy Research,PTR
Pigment Cell & Melanoma Research,PCMR
Plant Biology,PLB
Plant Breeding,PBR
Plant Pathology,PPA
Plant Species Biology,PSBI
"Plant, Cell & Environment",PCE
Plasma Processes and Polymers,PPAP
PM&R,PMR
PoLAR: Political and Legal Anthropology Review,PLAR
Policy & Internet (Electronic),POI3
Policy Studies Journal,PSJ
Political Psychology,POPS
Political Science Quarterly,POLQ
Politics & Policy,POLP
Polymer Composites,PC
Polymer Crystallization,PCR2
Polymer Engineering & Science,PEN
Polymer International,PI
Polymers for Advanced Technologies,PAT
Population and Development Review,PADR
Population Ecology,POPE
"Population, Space and Place",PSP
Poverty & Public Policy (Electronic),POP4
Prenatal Diagnosis,PD
Presidential Studies Quarterly,PSQ
Proceedings in Applied Mathematics & Mechanics,2130
Proceedings of the London Mathematical Society,PLMS
Process Safety Progress,PRS
Production and Operations Management,POMS
Progress in Photovoltaics: Research and Applications,PIP
"Propellants, Explosives, Pyrotechnics",PREP
Protein Science,PRO
"Proteins: Structure, Function, and Bioinformatics",PROT
Proteomics,PMIC
PROTEOMICS - Clinical Applications,PRCA
PsyCh Journal,PCHJ
Psychiatry and Clinical Neurosciences,PCN
Psychogeriatrics,PSYG
Psychology & Marketing,MAR
"Psychology and Psychotherapy: Theory, Research and Practice",PAPT
Psychology in the Schools,PITS
Psycho-Oncology,PON
Psychophysiology,PSYP
Psychotherapy and Politics International,PPI
Public Administration,PADM
Public Administration and Development,PAD
Public Administration Review,PUAR
Public Budgeting & Finance,PBAF
Public Health Nursing,PHN
Quality and Reliability Engineering International,QRE
Quantum Engineering,QUE2
Quarterly Journal of the Royal Meteorological Society,QJ
R&D Management,RADM
Radio Science,RDS
Random Structures & Algorithms,RSA
Rapid Communications in Mass Spectrometry,RCM
Ratio,RATI
Ratio Juris,RAJU
Reading Research Quarterly,RRQ
Real Estate Economics,REEC
Regional Science Policy & Practice,RSP3
Regulation & Governance,REGO
Religion Compass,REC3
Religious Studies Review,RSR
Remediation,REM
Renaissance Studies,REST
Reproduction in Domestic Animals,RDA
Research in Nursing & Health,NUR
Research Synthesis Methods,JRSM
Resource Geology,RGE
Respirology,RESP
Restoration Ecology,REC
Review of Development Economics,RODE
Review of Education,REV3
"Review of European, Comparative & International Environmental Law",REEL
Review of Financial Economics,RFE
Review of Income and Wealth,ROIW
Review of International Economics,ROIE
Review of Policy Research,ROPR
Reviews in Aquaculture,RAQ
Reviews in Medical Virology,RMV
Reviews in Religion & Theology,RIRT
Reviews of Geophysics,ROG
Revista Internacional del Trabajo,ILRS
Revue internationale du Travail,ILRF
Risk Analysis,RISA
Risk Management and Insurance Review,RMIR
"Risk, Hazards & Crisis in Public Policy(Electronic)",RHC3
River Research and Applications,RRA
Rural Sociology,RUSO
Scandinavian Journal of Caring Sciences,SCS
Scandinavian Journal of Immunology,SJI
Scandinavian Journal of Medicine & Science in Sports,SMS
Scandinavian Journal of Psychology,SJOP
Scandinavian Journal of Statistics,SJOS
Scandinavian Political Studies,SCPS
School Science and Mathematics,SSM
Science Education,SCE
Scottish Journal of Political Economy,SJPE
Security and Privacy,SPY2
Sedimentology,SED
Seminars in Dialysis,SDI
Separation Science Plus,SSCP
"Sexuality, Gender & Policy",SGP2
Significance,SIGN
Singapore Journal of Tropical Geography,SJTG
Skin Research and Technology,SRT
Small,SMLL
Small Methods,SMTD
Social and Personality Psychology Compass,SPC3
Social Anthropology,SOCA
Social Development,SODE
Social Issues and Policy Review,SIPR
Social Policy & Administration,SPOL
Social Science Quarterly,SSQU
Sociologia Ruralis,SORU
Sociological Forum,SOCF
Sociological Inquiry,SOIN
Sociology Compass,SOC4
Sociology of Health & Illness,SHIL
"Software Testing, Verification & Reliability",STVR
Software: Practice and Experience,SPE
Soil Use and Management,SUM
Solar RRL,SOLR
Sonography,SONO
Southern Economic Journal,SOEJ
Special Care in Dentistry,SCD
Starch,STAR
Stat,STA4
Statistica Neerlandica,STAN
Statistical Analysis and Data Mining,SAM
Statistics in Medicine,SIM
Steel Construction: Design and Research,STCO
Steel Research International,SRIN
Strain,STR
Strategic Change: Briefings in EntrepreneurialFinance,JSC
Strategic Entrepreneurship Journal,SEJ
Strategic Management Journal,SMJ
Stress and Health,SMI
Structural Concrete,2084
Structural Control and Health Monitoring,STC
Studia Linguistica,STUL
Studies in Applied Mathematics,SAPM
Studies In Ethnicity and Nationalism,SENA
Studies in Family Planning,SIFP
Suicide and Life-Threatening Behavior,SLTB
Support for Learning,SUFL
Surface and Interface Analysis,SIA
Surgical Practice,ASH
Sustainable Development,SD
Swiss Political Science Review,SPSR
Symbolic Interaction,SYMB
Synapse,SYN
Syntax,SYNT
System Dynamics Review,SDR
Systematic Entomology,SYEN
Systems Engineering,SYS
Systems Research and Behavioral Science,SRES
TAXON,TAX
Teaching Statistics,TEST
Teaching Theology & Religion,TETH
Tectonics,TECT
Terra Nova,TER
TESOL Journal,TESJ
TESOL Quarterly,TESQ
The American Journal of Economics and Sociology,AJES
The American Journal on Addictions,AJAD
The Anatomical Record,AR
The Australian Economic Review,AERE
The Australian Journal of Agricultural and Resource Economics,AJAR
The Australian Journal of Anthropology,TAJA
The Breast Journal,TBJ
The British Journal of Sociology,BJOS
The Canadian Geographer/Le Geographe Canadien,CAG
The Canadian Journal of Chemical Engineering,CJCE
The Canadian Journal of Statistics/La revue canadienne de statistique,CJS
The Career Development Quarterly,CDQ
The Chemical Record,TCR
"Clinical Teacher, The",TCT
The Curriculum Journal,CURJ
The Clinical Respiratory Journal,CRJ
The Developing Economies,DEVE
The Economic History Review,HER
The Ecumenical Review,EREV
The Electronic Journal of Information Systems in Developing Countries,ISD2
The EMBO Journal,EMBJ
The FASEB Journal,FSB2
The FEBS Journal,FEBS
The Financial Review,FIRE
The Geographical Journal,GEOJ
The German Quarterly,GEQU
The Heythrop Journal,HEYJ
The Howard Journal of Crime and Justice,HOJO
The International Journal of Health Planning and Management,HPM
The International Journal of Medical Robotics and Computer Assisted Surgery,RCS
The Journal of American Culture,JACC
The Journal of Comparative Neurology,CNE
The Journal of Competency-Based Education,CBE2
The Journal of Creative Behavior,JOCB
The Journal of Dermatology,JDE
The Journal of Finance,JOFI
The Journal of Financial Research,JFIR
The Journal of Futures Markets,FUT
The Journal of Gene Medicine,JGM
The Journal of Humanistic Counseling,JOHC
The Journal of Industrial Economics,JOIE
The Journal of Pathology,PATH
The Journal of Physiology,TJP
The Journal of Political Philosophy,JOPP
The Journal of Popular Culture,JPCU
The Journal of Rural Health,JRH
The Journal of Wildlife Management,JWMG
The Journal of World Intellectual Property,JWIP
The Laryngoscope,LARY
The Manchester School,MANC
The Milbank Quarterly,MILQ
The Modern Language Journal,MODL
The Muslim World,MUWO
The Obstetrician & Gynaecologist,TOG
The Photogrammetric Record,PHOR
The Plant Journal,TPJ
The Political Quarterly,POQU
The Prostate,PROS
The RAND Journal of Economics,RAND
The Reading Teacher,TRTR
The Russian Review,RUSS
The Scandinavian Journal of Economics,SJOE
The South African Journal of Economics,SAJE
The Southern Journal of Philosophy,SJP
The Structural Design of Tall and Special Buildings,TAL
The World Economy,TWEC
Theoria,THEO
Therapeutic Apheresis and Dialysis,TAP
Thought: A Journal of Philosophy,THT3
Thunderbird International Business Review,TIE
Tijdschrift voor Economische en Sociale Geografie,TESG
Topics in Cognitive Science,TOPS
Traditional & Kampo Medicine,TKM2
Traffic,TRA
Transactions in GIS,TGIS
Transactions of the American Fisheries Society,TAFS
Transactions of the Institute of British Geographers,TRAN
Transactions of the Philological Society,TRPS
Transactions on Emerging Telecommunications Technologies,ETT
Transboundary and Emerging Diseases,TBED
Transforming Anthropology,TRAA
Transfusion,TRF
Transfusion Medicine,TME
Translational Sports Medicine,TSM2
Transplant Infectious Disease,TID
Tropical Medicine & International Health,TMI
Ultrasound in Obstetrics & Gynecology,UOG
Vakuum in Forschung und Praxis,VIPR
Veterinary and Comparative Oncology,VCO
Veterinary Clinical Pathology,VCP
Veterinary Dermatology,VDE
Veterinary Ophthalmology,VOP
Veterinary Radiology & Ultrasound,VRU
Veterinary Surgery,VSU
Vietnam Journal of Chemistry,VJCH
Visual Anthropology Review,VAR
Vox Sanguinis,VOX
Water and Environment Journal,WEJ
Water Environment Research,WER
Water Resources Research,WRCR
Weather,WEA
Weed Biology and Management,WBM
Weed Research,WRE
Wildlife Monographs,WMON
Wildlife Society Bulletin,WSB
Wiley Interdisciplinary Reviews - Cognitive Science,WCS
Wiley Interdisciplinary Reviews - Nanomedicine and Nanobiotechnology,WNAN
Wiley Interdisciplinary Reviews: Computational Molecular Science,WCMS
Wiley Interdisciplinary Reviews: Computational Statistics,WICS
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,WIDM
Wiley Interdisciplinary Reviews: Developmental Biology,WDEV
Wiley Interdisciplinary Reviews: Energy and Environment,WENE
Wiley Interdisciplinary Reviews: Forensic Science,WFS2
Wiley Interdisciplinary Reviews: RNA,WRNA
Wiley Interdisciplinary Reviews: Systems Biology and Medicine,WSBM
Wiley Interdisciplinary Reviews: Water,WAT2
WIREs Climate Change,WCC
World Englishes,WENG
World Food Policy,WFP2
World Medical & Health Policy (Electronic),WMH3
World Water Policy,WWP2
Worldviews on Evidence-Based Nursing,WVN
Wound Repair and Regeneration,WRR
Xenotransplantation,XEN
X-Ray Spectrometry,XRS
Yeast,YEA
ZAMM - Journal of Applied Mathematics and Mechanics,ZAMM
Zeitschrift für anorganische und allgemeine Chemie,ZAAC
Zoo Biology,ZOO
Zoologica Scripta,ZSC
Zoonoses and Public Health,ZPH
Zygon® Journal of Religion and Science,ZYGO
Comprehensive Reviews in Food Science and Food Safety,CRF3
Leader to Leader,LTL
Advances in Digestive Medicine,AID2
Agronomy Journal,AGJ2
British Journal of Radiology,BJR
c/e papers,C/E
Crop Science,CSC2
Crops & Soils,CRSO
CSA News,CSAN
Current Protocols,CPZ1
DentoMaxilloFacial Radiology,DMFR
Educational Measurement: Issues and Practices,EMIP
JFSA Reports,JFSA
Journal of Educational Measurement,JEDM
Journal of Environmental Quality,JEQ2
Journal of Plant Registrations,PLR2
Small Structures,E506
Soil Science Society of America Journal,SAJ2
Veterinary Record Case Reports,VRC2
Veterinary Record,VETR
Advanced Biology,E771
